7.27191e-07	4.09118e-07	3.46792e-07	2.89088e-07	2.55734e-07	2.2853e-07	1.86903e-07	1.48687e-07	1.19437e-07	9.80803e-08	8.38343e-08	7.85047e-08	6.80601e-08	5.34478e-08	4.96716e-08	4.03385e-08	2.86941e-08
7.38564e-07	4.04532e-07	3.32896e-07	2.76087e-07	2.44133e-07	2.15325e-07	1.67938e-07	1.28811e-07	1.01316e-07	7.93529e-08	6.7102e-08	6.3313e-08	4.76142e-08	3.77125e-08	3.1966e-08	2.58784e-08	3.23575e-08
8.38469e-07	4.67227e-07	3.79578e-07	3.14675e-07	2.77696e-07	2.44885e-07	1.88457e-07	1.43041e-07	1.06858e-07	7.99318e-08	6.76055e-08	6.1417e-08	4.51503e-08	3.27482e-08	2.67997e-08	2.04723e-08	1.54458e-08
9.70901e-07	5.58198e-07	4.52803e-07	3.82467e-07	3.38705e-07	3.01586e-07	2.36177e-07	1.85115e-07	1.47389e-07	1.17861e-07	9.68703e-08	9.57463e-08	8.15883e-08	6.03198e-08	4.84099e-08	3.04883e-08	1.53578e-08
1.04024e-06	5.67286e-07	4.55787e-07	3.74533e-07	3.28741e-07	2.89238e-07	2.25008e-07	1.7054e-07	1.28902e-07	9.94772e-08	7.86775e-08	7.06708e-08	5.39629e-08	3.85558e-08	2.78465e-08	1.3134e-08	4.67266e-10
1.12276e-06	5.90185e-07	4.7065e-07	3.76639e-07	3.25402e-07	2.83019e-07	2.19393e-07	1.61918e-07	1.2566e-07	9.90755e-08	7.90836e-08	6.83362e-08	5.59849e-08	4.95188e-08	4.49597e-08	3.99207e-08	3.08656e-08
1.15188e-06	5.91538e-07	4.64612e-07	3.66759e-07	3.13753e-07	2.66911e-07	1.99444e-07	1.41614e-07	1.04736e-07	7.63703e-08	5.63526e-08	4.55923e-08	2.85047e-08	1.65446e-08	6.52943e-09	1.51553e-09	-8.03233e-09
1.1543e-06	5.89667e-07	4.68263e-07	3.69288e-07	3.17433e-07	2.69834e-07	2.01384e-07	1.38744e-07	1.03294e-07	7.95888e-08	5.61618e-08	4.48208e-08	3.02468e-08	1.31848e-08	7.64063e-09	3.34672e-09	2.2101e-09
1.16035e-06	5.81534e-07	4.62681e-07	3.68935e-07	3.15059e-07	2.69758e-07	2.0588e-07	1.48632e-07	1.07183e-07	8.47794e-08	6.38024e-08	4.99103e-08	4.07163e-08	2.47152e-08	1.73019e-08	9.47185e-09	6.44086e-10
1.1479e-06	5.63019e-07	4.51492e-07	3.6041e-07	3.09641e-07	2.64694e-07	2.04895e-07	1.48822e-07	1.06249e-07	8.06623e-08	6.30825e-08	5.29034e-08	3.96428e-08	2.50941e-08	1.79839e-08	1.04443e-08	1.32606e-09
